scenario_id,scenario_name,current_query,target_query,is_expected,rank,training_course_id,course_name,level,major,sub,hours,method,confidence_score,confidence_grade,final_score,reasons,direct_unit_evidence,sibling_scope_evidence,goal_direct_hits,goal_token_hits,goal_element_hits,goal_unit_core_hits,training_goal_ksa_score,gap_ksa_score,support_score,penalty_score
1,general_affairs_to_labor_management,총무,노무관리,True,1,280,노사관계 계획,5,경영·회계·사무,노무관리,16,집체훈련,1.0,high,1.0,career_path_unit_link;classification_match;delivery_fit;gap_job_base_bridge;level_fit;resolved_scope_unit_link;source_element_coverage;source_ksa_concept_overlap;source_unit_link;target_support_course_hint;time_depth_fit;time_efficiency;training_goal_element_implied_ksa_coverage;training_goal_ksa_coverage;transition_unit_link,True,True,0,0,12,0,0.1489,0.0,0.28,0.0
1,general_affairs_to_labor_management,총무,노무관리,True,2,282,단체교섭준비,5,경영·회계·사무,노무관리,20,집체훈련현장실습,1.0,high,1.0,career_path_unit_link;classification_match;delivery_fit;gap_ksa_concept_coverage;level_fit;practice_delivery_fit;resolved_scope_unit_link;source_ksa_concept_overlap;target_job_base_signal;target_support_course_hint;time_depth_fit;time_efficiency;training_goal_element_implied_ksa_coverage;training_goal_ksa_coverage;unit_element_coverage,True,True,0,2,13,0,0.1868,0.0066,0.24,0.0
1,general_affairs_to_labor_management,총무,노무관리,True,3,283,단체교섭,6,경영·회계·사무,노무관리,24,집체훈련현장실습,1.0,high,1.0,career_path_unit_link;classification_match;delivery_fit;gap_job_base_bridge;gap_ksa_concept_coverage;level_fit;practice_delivery_fit;resolved_scope_unit_link;source_ksa_concept_overlap;target_support_course_hint;time_depth_fit;time_efficiency;training_goal_element_implied_ksa_coverage;training_goal_ksa_coverage;transition_unit_link;unit_element_coverage,True,True,0,2,10,0,0.1856,0.0231,0.22,0.0
1,general_affairs_to_labor_management,총무,노무관리,False,4,281,노사관계 교육훈련,4,경영·회계·사무,노무관리,16,집체훈련현장실습,1.0,high,1.0,career_path_unit_link;classification_match;delivery_fit;gap_job_base_bridge;level_fit;resolved_scope_unit_link;source_ksa_concept_overlap;target_support_course_hint;time_depth_fit;time_efficiency;training_goal_element_implied_ksa_coverage;training_goal_ksa_coverage;unit_element_coverage,True,True,0,2,28,0,0.32,0.0,0.14,0.0
1,general_affairs_to_labor_management,총무,노무관리,False,5,289,노사관계 평가,5,경영·회계·사무,노무관리,16,집체훈련현장실습,1.0,high,1.0,career_path_unit_link;classification_match;delivery_fit;gap_job_base_bridge;level_fit;practice_delivery_fit;resolved_scope_unit_link;source_ksa_concept_overlap;target_support_course_hint;time_depth_fit;time_efficiency;training_goal_element_implied_ksa_coverage;training_goal_ksa_coverage;unit_element_coverage,True,True,0,2,20,0,0.2545,0.0,0.14,0.0
2,labor_management_to_hr_planning,노무관리,인사기획,True,1,266,인사기획,6,경영·회계·사무,인사,24,집체훈련,1.0,high,1.0,career_path_unit_link;classification_match;delivery_fit;level_fit;query_text_match;resolved_scope_unit_link;source_element_coverage;source_ksa_concept_overlap;source_unit_link;target_job_base_signal;target_support_course_hint;time_depth_fit;time_efficiency;training_goal_element_implied_ksa_coverage;training_goal_ksa_coverage;transition_unit_link,True,True,0,2,10,0,0.144,0.0,0.2,0.0
2,labor_management_to_hr_planning,노무관리,인사기획,True,2,267,직무관리,5,경영·회계·사무,인사,24,집체훈련현장실습,0.567,medium,0.5665,classification_match;delivery_fit;level_fit;sibling_classification_link;target_job_base_signal;target_support_course_hint;time_depth_fit;unit_element_coverage,False,True,0,0,0,0,0.0,0.0,0.24,0.0
2,labor_management_to_hr_planning,노무관리,인사기획,True,3,273,임금관리,5,경영·회계·사무,인사,30,집체훈련현장실습,0.48,low,0.4804,classification_match;delivery_fit;level_fit;sibling_classification_link;source_ksa_concept_overlap;target_job_base_signal;target_support_course_hint;time_depth_fit;training_goal_element_implied_ksa_coverage;training_goal_ksa_coverage;unit_element_coverage;diversity_penalty,False,True,0,0,1,0,0.0124,0.0,0.16,-0.03
2,labor_management_to_hr_planning,노무관리,인사기획,True,4,268,인력채용,5,경영·회계·사무,인사,30,집체훈련현장실습,0.48,low,0.4803,classification_match;delivery_fit;level_fit;sibling_classification_link;source_ksa_concept_overlap;target_job_base_signal;target_support_course_hint;time_depth_fit;unit_element_coverage;diversity_penalty,False,True,0,0,0,0,0.0,0.0,0.18,-0.03
2,labor_management_to_hr_planning,노무관리,인사기획,False,5,269,인력이동관리,5,경영·회계·사무,인사,20,집체훈련현장실습,0.41,low,0.4103,classification_match;delivery_fit;level_fit;sibling_classification_link;source_ksa_concept_overlap;target_job_base_signal;target_support_course_hint;time_depth_fit;time_efficiency;unit_element_coverage;diversity_penalty,False,True,0,0,0,0,0.0,0.0,0.1,-0.03
